id,severity,app,route,component,issue_type,description,evidence_img_before,evidence_img_after,axe_violation_id,fix_strategy,pr_link
UI-0001,HIGH,web,/,Button.Language,Focus/Outline,Default browser outline on language toggle button; no ring-offset on cream surface,screens/web/root/md-light-focus_before.png,,,"Apply focus-visible:ring-2 focus-visible:ring-offset-2 focus-visible:ring-(--color-focus-ring)",
UI-0002,HIGH,web,/,Button.Theme,Focus/Outline,Default browser outline on theme toggle button; inconsistent with design system,screens/web/root/md-light-focus_before.png,,,"Apply focus-visible:ring-2 focus-visible:ring-offset-2 focus-visible:ring-(--color-focus-ring)",
UI-0003,HIGH,web,/,Button.AdminConsole,Focus/Outline,No visible focus indicator on admin console button,screens/web/root/md-light-focus_before.png,,,"Add focus-visible ring tokens with proper offset",
UI-0004,MED,web,/,AnimatedBackground,Hardcoded Spacing,Hardcoded pixel values in background gradient sizing: w-[900px] h-[900px],apps/web/src/components/AnimatedBackground.tsx#118,,,Replace with responsive units or CSS variables,
UI-0005,MED,web,/,AnimatedBackground,Hardcoded Spacing,Multiple hardcoded dimensions in decorative elements,apps/web/src/components/AnimatedBackground.tsx#124-142,,,Use viewport units or design tokens,
UI-0006,HIGH,web,/auth,SignInForm.EmailInput,Focus/Outline,Input focus state uses default blue outline instead of coral,screens/web/auth/md-light-focus_before.png,,,"Replace with focus-visible:ring-2 focus-visible:ring-(--color-focus-ring)",
UI-0007,HIGH,web,/auth,SignInForm.PasswordInput,Focus/Outline,Input focus state uses default blue outline,screens/web/auth/md-light-focus_before.png,,,"Replace with focus-visible:ring-2 focus-visible:ring-(--color-focus-ring)",
UI-0008,MED,web,/auth,SignInForm.Container,Hardcoded Radius,Card uses hardcoded rounded-[24px] instead of token,apps/web/src/components/auth/SignInForm.tsx,,,Replace with rounded-3xl or var(--radius-3xl),
UI-0009,HIGH,web,/discover,PetCard.LikeButton,Focus/Outline,Like button has no visible focus indicator for keyboard users,screens/web/discover/md-light-focus_before.png,,color-contrast,"Add focus-visible ring with sufficient contrast",
UI-0010,HIGH,web,/discover,PetCard.PassButton,Focus/Outline,Pass button has no visible focus indicator,screens/web/discover/md-light-focus_before.png,,,"Add focus-visible ring tokens",
UI-0011,MED,mobile,HomeScreen,NavBar.DiscoverButton,Hit-target,Touch target is 38×38dp (below 44×44dp minimum),screens/mobile/ios/home/light-idle.png,,,Increase padding to meet 44×44dp minimum,
UI-0012,MED,mobile,HomeScreen,NavBar.MatchesButton,Hit-target,Touch target is 38×38dp (below 44×44dp minimum),screens/mobile/ios/home/light-idle.png,,,Increase padding or min-height/width to 44dp,
UI-0013,MED,mobile,ChatScreen,MessageBubble.ReactionButton,Hit-target,Reaction button too small at 32×32dp,screens/mobile/ios/chat/light-idle.png,,,Increase to at least 44×44dp touch target,
UI-0014,HIGH,web,/,stories/StoryFilterSelector,Hardcoded Color,Gradient using hardcoded hex values: linear-gradient(135deg #667eea 0% #764ba2 100%),apps/web/src/components/stories/StoryFilterSelector.tsx#202,,,Replace with CSS variable gradients,
UI-0015,MED,web,/community,PostComposer.ImagePreview,Hardcoded Radius,Preview thumbnails use hardcoded rounded-lg instead of token,apps/web/src/components/community/PostComposer.tsx#435,,,Use design token for consistency,
UI-0016,HIGH,web,/adoption,AdoptionCard.ViewButton,Contrast,Button text contrast is 3.8:1 (below AA requirement of 4.5:1) in certain states,screens/web/adoption/md-light-hover_before.png,,color-contrast,Increase contrast or adjust color to meet AA,
UI-0017,MED,web,/,NavButton.Indicator,Hardcoded Spacing,Active indicator uses hardcoded h-1 and positioning,apps/web/src/App.tsx#732,,,Use spacing tokens for consistency,
UI-0018,HIGH,web,/lost-found,MapView.LocationButton,Focus/Outline,Location button missing focus indicator,screens/web/lost-found/md-light-focus_before.png,,,"Add aria-label and focus-visible ring",
UI-0019,HIGH,web,/lost-found,MapView.ToggleListButton,Focus/Outline,Toggle list button missing focus indicator,screens/web/lost-found/md-light-focus_before.png,,,"Add focus-visible ring tokens",
UI-0020,MED,web,/,HeaderButton.Sync,Hardcoded Spacing,Button uses hardcoded h-9 px-3 instead of size tokens,apps/web/src/App.tsx#514,,,Replace with Button size variants (sm/md/lg),
